name;area;employer;salary;experience;monthly_hours
Менеджер по работе с партнерами;Санкт-Петербург;i2crm;110000.0;1;168.0
Администратор магазина (Саянская, 11А);Москва;МАГНИТ, Розничная сеть;98700.0;1;180.0
Оператор 1С;Городище;АстМаркет;45000.0;1;180.0
Консультант-аналитик 1С производство;Москва;ПИК-специализированный застройщик;170000.0;1;168.0
Помощник бухгалтера/бухгалтер/оператор 1с;Санкт-Петербург;Теплопони;79000.0;1;168.0
Программист 1C;Санкт-Петербург;Паритет-Нева;140000.0;1;168.0
Сервис-инженер 1С;Челябинск;Рациональная Автоматизация;80000.0;1;168.0
Менеджер по работе с клиентами;Пенза;Поволжская торговая компания;64500.0;0;
Программист 1С;Екатеринбург;Стройкомплект;;1;168.0
Руководитель IT отдела (1С, WMS и маркетплейсы);Москва;Бьюти Лайф;;3;168.0
Программист 1С ERP 2.5;Санкт-Петербург;REDMOND;318000.0;1;168.0
Оператор 1С;Атырау;ОВИП;37500.0;1;168.0
Руководитель отдела внутренней автоматизации 1С;Москва;Алеф-1;;3;168.0
HR-менеджер (1С ЗУП);Шымкент;NLS Kazakhstan;56250.0;3;168.0
Продавец (Зелинского, 10);Великий Новгород;МАГНИТ, Розничная сеть;54750.0;0;174.0
Начинающий аналитик бизнес-систем (1С);Санкт-Петербург;КОРЕАНА;75000.0;1;168.0
Программист 1С;Новосибирск;Карачинский источник;;3;168.0
Менеджер по работе с клиентами;Ульяновск;Скворцов Павел Александрович;97500.0;0;168.0
Программист 1C;Череповец;Северная Трубная Компания;200000.0;3;168.0
Ведущий программист 1С;Москва;Системный Администратор;220000.0;3;168.0
Менеджер проектов 1С (п. Яблоновский);Краснодар;Юг-Авто;150000.0;1;168.0
Оператор 1С;Хабаровск;Бристоль Ритейл Логистикс;60000.0;1;165.0
Администратор магазина (Чугунова, 15Б);Раменское (Московская область);МАГНИТ, Розничная сеть;66500.0;0;180.0
Менеджер по работе с клиентами;Москва;Самолет Плюс (ИП Шапилов Николай Александрович);400000.0;0;168.0
Администратор магазина (Чернышевского, 17);Ковров;МАГНИТ, Розничная сеть;75850.0;0;180.0
Программист 1С;Москва;Красногорсклексредства;;1;168.0
Оператор 1С;Москва;САТУРН ЦЕНТР;79000.0;0;168.0
Менеджер отдела клиентского обслуживания (оператор 1С);Хабаровск;Энергосфера;70000.0;1;168.0
Водитель-курьер с личным автомобилем;Актау;Avis Logistics;36000.0;1;168.0
Менеджер по продажам решений 1С;Краснодар;Итс плюс;;1;168.0
Будничный курьер 1-2-3 часа;Астана;Яндекс.Еда Казахстан;190500.0;0;109.0
Водитель категории С;Ростов-на-Дону;Дон-эко;195000.0;1;
Менеджер по работе с клиентами;Екатеринбург;D Innovate Group;80000.0;1;168.0
Оператор 1с на производство;Москва;Юниэко;75000.0;1;168.0
Наладчик станков с ЧПУ;Минск;Ю-Пласт Бел;;3;168.0
Специалист поддержки расширения 1С;Киров (Кировская область);Денвик;80000.0;1;168.0
Аналитик 1С;Москва;RG-Soft,ООО;;3;168.0
Оператор 1C;Благовещенск (Амурская область);Садторг;50000.0;1;168.0
Администратор магазина (Ленина, 16);Невель;МАГНИТ, Розничная сеть;37150.0;0;180.0
Консультант 1С УНФ;Москва;Айтон;;1;168.0
Бухгалтер по реализации / оператор 1С;Брянск;ГК Оскар;;1;126.0
Программист 1С;Щелково (Московская область);МЕТИЗ ИМПЭКС;;1;168.0
Администратор магазина (Красных Партизан, 1);Можайск (Московская область);МАГНИТ, Розничная сеть;55850.0;0;180.0
Менеджер / Логист (с собственной клиентской базой);Санкт-Петербург;Оранж Плюс;165000.0;1;168.0
Менеджер по работе с клиентами;Балахна;Судостроительная верфь РПР;45000.0;1;168.0
Ведущий консультант 1С:ЗУП;Челябинск;Трубная Металлургическая Компания;;1;168.0
Операционист 1С;Ростов-на-Дону;Миллениум, ГК;50000.0;0;200.0
Аналитик 1С:ERP/Руководитель проекта автоматизации 1С;Санкт-Петербург;Регионхимснаб;250000.0;3;168.0
Продавец (Первомайская, 121);Называевск;МАГНИТ, Розничная сеть;35900.0;0;174.0
Продавец (Дружбы, 19);Великие Луки;МАГНИТ, Розничная сеть;40800.0;0;174.0
Программист 1С;Уфа;МобилБетон;120000.0;3;168.0
Водитель-экспедитор категории С;Ростов Великий;ВЕРНЫЙ, Сеть магазинов;165000.0;1;150.0
Программист 1С;Москва;ND Group;;3;168.0
Продавец (Дворцовая, 4А/1);Ульяновск;МАГНИТ, Розничная сеть;39250.0;0;174.0
Оператор 1С;Зеленоград;Пирс;80000.0;3;168.0
Оператор 1С;Саратов;ТД БЕЛФОРТ;47500.0;1;168.0
Программист-консультант 1С;Брянск;Калужский Турбинный Завод;;1;168.0
Программист 1С (начинающий);Самара;Компания Апогей (Техподдержка 1С);60000.0;0;168.0
Руководитель группы разработчиков / программист 1С;Москва;Йуми;;3;168.0
"Водитель-экспедитор ""С""";Могилев;ТУТ и ТАМ Логистикс;;0;168.0
Разработчик 1С (middle);Екатеринбург;Восток.Софт;;3;168.0
Офис-менеджер с функциями делопроизводителя и работа с клиентами;Алматы;GB Consult;48750.0;1;168.0
