name;area;employer;salary;experience;monthly_hours
Менеджер по логистике;Муром;Километраж;80000.0;1;168.0
Помощник логиста;Алматы;«MK – GlobalLogistics»;67500.0;0;168.0
Специалист по логистике мобильных заказов\Mobil buyurtmalar logistikasi mutaxassisi;Ташкент;Свидлова Ирина Сергеевна;165300.0;0;67.0
Логист (железнодорожные перевозки);Москва;RUS BAHN;250000.0;1;168.0
Логист - координатор заказов. Продавец-консультант;Тюмень;Полежаев Владимир Алексеевич;90000.0;1;127.5
Специалист по логистике;Ульяновск;1А;50000.0;0;168.0
Транспортный логист;Новосибирск;МХ групп;95000.0;3;168.0
Менеджер/специалист по организации перевозок (импорт);Москва;Европак;155000.0;1;168.0
Логист-Экспедитор;Екатеринбург;Верста;75000.0;1;189.0
Менеджер-логист по работе с экспедиторами;Набережные Челны;ТРАНСКОМПАНИ;100000.0;1;168.0
Логист-Диспетчер;Иркутск;МегаТранс;67500.0;1;168.0
Логист;Новосибирск;Ревертек;100000.0;3;168.0
Водитель-экспедитор с личным грузовым автомобилем 3,5-5 тонн;Москва;Логист Сервис;400000.0;0;168.0
Логист;Ижевск;Группа заводов Металлкомплект;;1;168.0
Логист;Новосибирск;Птицефабрика Улыбино;;1;180.0
Логист (привлеченный транспорт);Волгоград;Сотранс, группа компаний;120000.0;1;168.0
Специалист по логистике (Александровский);Иркутск;Горно-рудная компания Западная;;1;250.0
Логист по международным перевозкам;Санкт-Петербург;Геоскан;;1;168.0
Менеджер по логистике;Пермь;Сфера;80000.0;1;168.0
Логист;Ижевск;М ГРУПП;175000.0;1;168.0
Логист;Ростов-на-Дону;AGS;;3;168.0
Логист-диспетчер;Лермонтов;Фаворит;65000.0;1;135.0
Логист (курьерская логистика);Москва;DPD в России;91375.0;1;
Менеджер по логистике;Зеленоград;ТРАНСИМЕКСА;;1;168.0
Менеджер по логистике и закупкам со знанием китайского языка;Москва;CINOTEX;127500.0;3;168.0
Менеджер по логистике;Ростов-на-Дону;КАРГИС;120000.0;1;168.0
Менеджер по логистике (продажи и управление перевозками);Санкт-Петербург;ПРОСТОР;110000.0;0;168.0
Логист;Казань;ТЛК-Групп;140000.0;1;168.0
Диспетчер-логист;Волгоград;ТД Зерно Заволжья;;0;168.0
Логист склада;Нижний Тагил;Электростат;50000.0;0;189.0
Менеджер по логистике;Иваново (Ивановская область);РефТранс;100000.0;1;168.0
Помощник логиста;Великий Новгород;ГК Мега Холод;50000.0;0;
Менеджер по логистике;Казань;Топливная Компания Транзитсити;80000.0;1;168.0
Менеджер-логист по собственному транспорту;Краснодар;Асса Лоджистикс;90000.0;1;168.0
Ассистент менеджера по логистике ВЭД, импорт;Москва;Гауф Рус;90000.0;1;168.0
Логист Экспедитор;Минск;БелРосГруз;;1;180.0
Менеджер по логистике;Санкт-Петербург;Р-Индустрия, Корпорация;90000.0;1;168.0
Специалист-логист по транспорту (Дмитровское шоссе);Москва;Петрович, Строительный Торговый Дом;122000.0;1;165.0
Логист в производственную компанию;Казань;Базальтовые Огнезащитные Системы;80000.0;1;168.0
Помощник логиста;Мытищи (Московская область);Альт-Пак;70000.0;1;168.0
Логист по автоперевозкам;Владивосток;Лоджистик Форс ДВ;140000.0;1;168.0
Логист (экспедиция);Нижний Новгород;М-Групп;140000.0;1;168.0
Логист по управлению товарными запасами;Ростов-на-Дону;Миллениум, ГК;75000.0;1;168.0
Менеджер отдела логистики;Кемерово;Сибирский Экспресс;46500.0;3;189.0
Логист-операционист;Набережные Челны;Бриз - Климатические Системы;70000.0;1;168.0
Менеджер по логистике;Бишкек;ОсОО Грузофф24;;1;168.0
Логист;Пушкино (Московская область);Baltic Logistics, Группа компаний;120000.0;1;180.0
Менеджер по логистике;Новомалороссийская;фирма Агрокомплекс им. Н.И. Ткачева;72000.0;1;168.0
Логист;Тверь;Важная персона-Авто;120000.0;1;168.0
Специалист по логистике / Логист / Менеджер по логистике (Железнодорожные перевозки);Алматы;MAT Group;75000.0;1;168.0
Логист-механик (транспортный отдел), склад;Воронеж;Сеть аптек Апрель;80000.0;1;168.0
Логист / Менеджер по транспорту;Уфа;Petshopru;55000.0;1;189.0
Менеджер по логистике/Логист;Курган;Ростпром;100000.0;1;168.0
Логист (привлеченный транспорт);Краснодар;Гепард;70000.0;0;168.0
Логист по международным перевозкам;Москва;CILCO;;1;189.0
Логист по транспорту;Астана;КазСпецИнжиниринг-А;67500.0;3;200.0
