name;area;employer;salary;experience;monthly_hours
Кладовщик;Москва;Сонекс;75000.0;1;168.0
Старший продавец (ул. Космонавтов);Волгоград;Лента, федеральная розничная сеть;46000.0;1;
Педагог-психолог;Казань;МБОУ ШКОЛА № 84;36000.0;1;200.0
Директор супермаркета (Московская улица);Долгопрудный (Московская область);Лента, федеральная розничная сеть;;1;168.0
Помощник повара (Объездная ул.);Брянск;Лента, федеральная розничная сеть;45000.0;0;
Старший инкассатор;Москва;Россельхозбанк;127500.0;1;180.0
Сборщик заказов (сыры, колбасы, вина);Москва;Воксис. Кадровые Решения;107500.0;0;126.0
Пекарь (Дмитровское шоссе);Москва;Лента, федеральная розничная сеть;104000.0;0;
Media Planner/Эксперт по планированию размещения рекламы в СМИ;Москва;Okkam;;1;168.0
Социальный педагог;Минск;Средняя школа № 77 г. Минска имени И.К.Кабушкина;;0;200.0
Педагог-психолог;Старобин;Старобинский детский сад № 2 Солигорского района;;0;84.0
Менеджер отдела продаж (розница);Долгопрудный (Московская область);Лемана ПРО;89400.0;1;168.0
Учитель начальных классов школы “Точка притяжения”;Санкт-Петербург;Образовательный центр Пять с плюсом;95000.0;1;168.0
Специалист группы мониторинга средств массовых коммуникаций;Волгоград;ГРЧЦ, ФГУП;40770.0;1;168.0
Продавец в гипермаркет (Долгопрудный);Долгопрудный (Московская область);Лента, федеральная розничная сеть;76000.0;0;
Заведующая / Заведующий / Директор частного детского сада;Ташкент;MUDARRIS AKADEMIYA;5355.0;3;178.5
Администратор склада Ozon Fresh (МЦД Грачёвская);Москва;Ozon;100000.0;0;165.0
Ведущий Менеджер по Работе с Клиентами / Психолог / Коуч (продажи, онлайн);Москва;LifeStyleGroup;200000.0;1;
Психолог (консультации, телемедицина);Санкт-Петербург;Дженерал Медикал Центр-СП;110000.0;1;
Старший продавец (шоссе Выборгское);Санкт-Петербург;Лента, федеральная розничная сеть;66200.0;1;
Менеджер по работе с клиентами в Банк;Горно-Алтайск;Россельхозбанк;;0;
Водитель-инкассатор (мастер);Москва;Россельхозбанк;130000.0;1;180.0
Повар кулинарного цеха (деревня Борисово);Серпухов (Московская область);Лента, федеральная розничная сеть;104400.0;0;
