name;area;employer;salary;experience;monthly_hours
Риск-технолог / Старший аналитик (СПР);Москва;«Баланс-Платформа»;;3;176.0
Системный администратор;Санкт-Петербург;Вальд;165000.0;3;176.0
Senior AQA Python Automation Engineer;Минск;АйрисДев;;3;176.0
Python Developer QA Team (SDET);Кипр;TRIBE (LTD STARTRIBE);;3;176.0
Tech Lead Python и JS;Москва;Просвещение;;6;176.0
Python Developer;Москва;РТК-ЦОД;;1;176.0
DevOps-инженер (Jenkins);Москва;Okko;;3;176.0
Python-разработчик (middle+/senior);Москва;ДИКСИ, группа компаний;;3;176.0
Sotuv bo‘yicha menejer - IT yo‘nalishi (сall-markaz);Ташкент;Qadam Education;5040.0;0;208.0
Разработчик AI-агентов;Москва;IBS;;1;176.0
Разработчик Linux Embedded;Москва;Е-Флопс;;3;176.0
Педагог дополнительного образования (программирование на Python);Санкт-Петербург;ГБОУ СОШ № 617;35000.0;1;66.0
Python Developer middle;Москва;KEDOO Entertainment;;3;176.0
Python разработчик;Москва;ИЦ АЙ-ТЕКО;;3;176.0
Инженер по интеграции (ИТ-инфраструктура);Москва;Е-Флопс;;3;176.0
Аналитик данных;Москва;Авокод;140000.0;3;176.0
ML Engineer;Москва;СИГМА;;3;176.0
Python разработчик/Fullstack-разработчик в сервис Аналитики маркетплейсов;Воронеж;Григорьев Вячеслав Романович;85000.0;1;176.0
Team Lead команды разработки (Python);Москва;Ростелеком Информационные Технологии;;3;176.0
Аналитик данных / Управление по управлению данными;Ташкент;АКБ Asia Alliance Bank;;3;176.0
Python-разработчик в e-grocery бизнес;Хабаровск;Розничное направление ГК Невада;;3;176.0
Backend-разработчик (Python);Москва;CHOICEIT;;6;187.0
Junior Python разработчик;Москва;hitalent;90000.0;0;176.0
DevOps/MLOps инженер;Санкт-Петербург;Neoflex;;1;198.0
Преподаватель Информатики;Ташкент;BRAIN TRAIN;3780.0;1;176.0
Ведущий разработчик Python (Team lead);Санкт-Петербург;ЦРТ | Группа компаний;;3;176.0
Intern/Manual QA Engineer;Минск;Синтегрико/Syntegrico;;0;176.0
Backend-разработчик Python (Junior);Иннополис;Алабуга, ОЭЗ ППТ;112500.0;0;176.0
Senior Database Reliability Engineer в команду DBaaS [MWS Cloud Platform];Москва;МТС;;6;176.0
Technical Artist / Технический художник (Мир танков);Санкт-Петербург;Леста Игры;;1;176.0
ML / AI Engineer;Москва;Андриянов Антон Алексеевич;350000.0;0;176.0
Инженер по автотестированию Python (middle);Москва;РТК-ЦОД;;3;176.0
Руководитель регионального кампуса;Шымкент;Alem.ai Foundation;;1;176.0
Программист 1С со знанием бухгалтерского учёта (УНФ);Москва;Павлова Елена Михайловна;225000.0;1;176.0
Python разработчик;Москва;ИЦ АЙ-ТЕКО;;3;176.0
Специалист по поддержке работы сайтов (в том числе интернет-магазина);Санкт-Петербург;МБ ТРАКС СПБ;;1;
Ведущий инженер отдела развития информационных систем;Санкт-Петербург;СПб ГУП «АТС Смольного»;;3;176.0
