name;area;employer;salary;experience;monthly_hours
Юрист;Екатеринбург;Доверие;80000.0;1;168.0
Ведущий юрисконсульт;Симферополь;АйСи Инвест;;1;168.0
Главный юрисконсульт направления корпоративного сопровождения;Москва;Трубная Металлургическая Компания;;3;168.0
Юрисконсульт 1 категории;Калуга;Калужская сбытовая компания;62960.0;1;168.0
Юрист;Тюмень;Динекс;100000.0;3;168.0
Корпоративный юрист;Владимир;Альянс / Тесситоре, Кузнецов и Партнеры;;3;168.0
Юрист (интеллектуальная собственность);Москва;Invisiline (ООО Невидимые Решетки);;3;168.0
Юрист;Тюмень;Юридическая компания НИКА;100000.0;6;168.0
Делопроизводитель/помощник юриста;Нижний Новгород;Национальная служба банкротства;50000.0;1;168.0
Старший юрист;Санкт-Петербург;Акцент;100000.0;6;168.0
Юрист;Краснодар;Атланта;90000.0;3;168.0
Юрист;Ейск;Ваша Сервисная Компания;50000.0;6;168.0
Юрисконсульт;Москва;Энергия Развития;;1;168.0
Юрист по банкротству;Орел;Большое дело;62500.0;1;168.0
Юрист по договорной работе;Москва;АТОМЭКСПО;;3;168.0
Юрист;Москва;АЛТАИР ГРУПП;150000.0;3;168.0
Lawyer;Минск;AIBY;;1;168.0
Юрист по договорной работе;Москва;Нева-Спорт;130000.0;1;168.0
Юрист первичного приема;Ярославль;Токарев Юрий Анатольевич;70000.0;0;210.0
Главный юрисконсульт;Москва;Лесинвест;180000.0;6;168.0
Юрисконсульт;Казань;Технополис «Химград»;;3;168.0
Помощник юриста;Чебоксары;Аврора;50000.0;1;168.0
Юрисконсульт;Новосибирск;Lauter;110000.0;1;168.0
Юрист;Астана;ТМ ERZO.PROPERTY (ТОО TRANSCAPITAL);52500.0;3;168.0
Юрист;Рыбинск;РК;65000.0;3;168.0
Юрисконсульт (судебный юрист);Пушкино (Московская область);РосЕвроСити;150000.0;3;168.0
Юрист;Екатеринбург;Перепелкина Ксения Игоревна;;1;168.0
Юрист (недвижимость);Москва;ВЛАДИС;170000.0;1;168.0
Корпоративный юрист;Москва;Федеральный центр компетенций в сфере производительности труда;;3;168.0
Юрисконсульт;Самара;Согласие, страховая компания;;1;168.0
Юрист (судебный, банкротство);Санкт-Петербург;Союз Арбитражных Управляющих Национальный Центр Реструктуризации и Банкротства;104000.0;3;168.0
Юрист;Воронеж;ГАРАНТ;50000.0;1;168.0
Ведущий юрисконсульт-судебник;Москва;Авантаж Инжиниринг;;6;168.0
Юрист;Минск;ЭкспертПожПлюс;;1;84.0
Юрист первичного приёма;Санкт-Петербург;ЛенЮр;100000.0;1;168.0
Юрист;Москва;Савицкая и партнёры;;1;168.0
Юрист по сопровождению сделок M&A;Краснодар;Юридическая компания Золотое правило;120000.0;1;168.0
Старший юрист;Москва;Авангард Права;;3;168.0
Юрист;Москва;Управляющая компания Помощь;180000.0;6;168.0
Юрисконсульт;Пермь;Пермнефтеотдача;45000.0;3;168.0
Старший юрист в продуктовое направление;Москва;Профи.ру;;3;168.0
Юрисконсульт;Минск;Экономика-софт;;1;168.0
Юрист/секретарь судебного заседания аппарата мирового судьи Московской области, Мытищи (суд. уч. 130;Мытищи (Московская область);Главное управление по обеспечению деятельности мировых судей Московской области;75000.0;0;168.0
Юрисконсульт договорного отдела;Зеленоград;Правительство Москвы;;1;168.0
Юрист;Москва;ЛАЙТ;160000.0;3;168.0
Делопроизводитель / Специалист по документообороту/помощник юриста;Красноярск;1БФЛ;57500.0;0;168.0
Ведущий юрисконсульт ( Трудовое право);Новосибирск;СберПраво;108000.0;1;180.0
Юрист;Москва;Логика;85000.0;1;168.0
Главный юрисконсульт в области корпоративного права;Новосибирск;Профессиональная Коллекторская организация ССПВ;90000.0;1;168.0
Юрист;Астана;Opt Building Group;;1;168.0
Юрист;Саратов;Шерлит;65000.0;6;168.0
Юрист (по сопровождению процедуры банкротства);Новокузнецк;Сфера Защиты;80000.0;1;168.0
Юрист (проверка контрагентов);Москва;МФК Фордевинд;;3;168.0
Юрисконсульт отдела претензионно-исковой работы;Нижний Тагил;Расчетный центр Урала;50000.0;1;168.0
Юрист;Одинцово (Московская область);НИКОЙЛ;100000.0;1;168.0
Ведущий юрисконсульт;Симферополь;Крымтехнологии;;3;168.0
Юрисконсульт;Ногинск (Московская область);Зенит;120000.0;3;168.0
Юрист;Минск;КАТЭК;;1;168.0
Юрист;Пушкино (Московская область);СЗ ПрофСтрой Групп;;3;168.0
Юрисконсульт отдела контроля и качества;Москва;СберПраво;75000.0;1;168.0
Юрист;Бишкек;ОсОО ПРОландия;;3;168.0
Помощник юриста;Ульяновск;Юридическое бюро Линия права;65000.0;0;168.0
Юрисконсульт;Минск;ЛАЦИТ - Лаборатория цифровых технологий;;3;
Ведущий юрисконсульт по судебной работе;Уфа;Машинно-Технологическая Станция Центральная;50000.0;1;168.0
Юрист;Москва;ИТБ;130000.0;6;168.0
Главный юрист;Москва;Трехгорная мануфактура;;3;168.0
Юрист;Краснодар;Антонова Оксана Михайловна;100000.0;3;168.0
Юрист ПАУ/Помощник арбитражного управляющего;Казань;Банкротство Под Ключ;70000.0;1;189.0
Главный специалист (Юрист), г. Новосибирск УМТС;Новосибирск;АЛРОСА;;3;168.0
Корпоративный юрист;Астана;SofiaGlobal;48750.0;3;168.0
Инхаус Юрист;Москва;Emilia Nevskaya Consulting Group;127500.0;3;168.0
Юрисконсульт;Москва;ЧОП Логос Титул;150000.0;3;168.0
Юрист/помощник юриста;Москва;Насуров Осман Умалатович;75000.0;0;168.0
Ведущий юрист по внешнеэкономической деятельности;Москва;Инженерные системы;;3;168.0
Юрисконсульт;Новороссийск;Гарантия;100000.0;6;168.0
Юрист в Бишкеке;Бишкек;Белурсустрейдкомпани;;0;
Юрист;Южно-Сахалинск;Агрохолдинг Сахалинский;115000.0;3;157.5
Юрист по государственным закупкам;Санкт-Петербург;СПб ГБУ ДО СШОР ШВСМ по легкой атлетике;85000.0;1;168.0
Юрист;Талгар;ОО SPORT ASSET MANAGEMENT;97500.0;3;168.0
Юрист;Екатеринбург;Компания maxim;80000.0;3;168.0
Юрист-международник (ВЭД);Москва;Группа компаний VR;;3;168.0
Юрисконсульт;Красноярск;КГАПОУ КТТиС;60000.0;1;168.0
Юрисконсульт;Екатеринбург;ГКПТУ ОТОПС Свердловской области;35000.0;1;168.0
Юрист по банкротству физических лиц;Москва;Логика Права;85000.0;1;168.0
Юрисконсульт;Ташкент;СП ООО Havas food;;1;168.0
Юрист (по исполнительному производству);Нижний Новгород;ПКО ФинЭффект;125000.0;1;168.0
Юрисконсульт ВЭД;Санкт-Петербург;Baltic Logistics, Группа компаний;;3;168.0
Юрист;Красноярск;Клининговая Компания Один;65000.0;3;168.0
Ведущий юрисконсульт юридического отдела;Москва;Развитие парков;130000.0;3;168.0
Юрист;Шымкент;Құрылыс Темір-Бетон;71250.0;6;175.0
Юрист по банкротству;Москва;Ассоциация СРО ОАУ Лидер;110000.0;3;168.0
Юрист;Москва;Триал-Спорт;90000.0;3;168.0
Корпоративный юрист с фокусом на IP;Москва;Смысл Медиа;120000.0;6;168.0
Ведущий юрисконсульт;Томск;KBREW | Пивоварня в Кожевниково;;6;168.0
Юрисконсульт;Новосибирск;Востокбурвод;90000.0;6;168.0
Спортивный Юрист в единственном лице;Москва;ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ;;3;168.0
Юрисконсульт;Каспийск;АРСИ ГРУПП;72500.0;1;168.0
Юрист;Химки (Московская область);Zoomlion Heavy Industry Science&Technology Co., Ltd.;150000.0;1;168.0
Юрист - кадровик;Астана;Строй Монтаж Проект;60000.0;6;168.0
Юрист в транспортно-экспедиционную компанию;Владивосток;Фарес;120000.0;3;168.0
Младший юрист в антимонопольную практику;Москва;Алюмни Партнерс;;1;168.0
Юрист;Екатеринбург;Ruda Games;70000.0;1;147.0
Юрисконсульт;Якутск;Солидарность +;;1;168.0
Юрист;Калининград;Гринатом;;3;168.0
Юрист/ заместитель начальника юридического отдела;Курск;Rubex group;83000.0;3;168.0
Начинающий юрист;Москва;Возрождение;115000.0;0;168.0
Юрисконсульт;Санкт-Петербург;Crown Hotel;;3;168.0
Ведущий юрисконсульт;Новосибирск;Конструкторское бюро Луггар;;1;168.0
Юрисконсульт/Главный специалист комитета образования;Великий Новгород;Администрация Новгородского муниципального района;50000.0;3;168.0
Юрист;Самара;Алмас;90000.0;1;168.0
Юрист первичной консультации;Санкт-Петербург;Иглицын Михаил Александрович;115000.0;1;168.0
Юрисконсульт;Санкт-Петербург;Гудвин;;1;168.0
Юрист;Нижний Новгород;ЗАВОД КРАСНЫЙ ЯКОРЬ;72000.0;1;168.0
Юрисконсульт;Ижевск;Фармаимпекс;57500.0;0;168.0
Юрисконсульт;Петрозаводск;КУ РК Управление автомобильных дорог Республики Карелия;52950.0;1;168.0
Младший юрист;Шымкент;МЦ ЭКО;41250.0;1;168.0
Юрист;Санкт-Петербург;Борзова Дизайн Групп;30000.0;3;
Начинающий юрист;Москва;Нотариус Жлобо Игорь Геннадьевич;60000.0;0;168.0
Юрист;Москва;Авангард Права;;3;168.0
Ведущий юрисконсульт;Москва;Адсорбционные Газовые Системы;;6;168.0
Юрист по товарным знакам/патентный поверенный;Краснодар;Онлайн услуги 24;80000.0;3;168.0
Юрисконсульт;Минск;Эстель Сервис;;3;168.0
Юрисконсульт;Минск;Вега Столица;;1;168.0
Юрисконсульт отдела договорной работы;Москва;Объединенная судостроительная корпорация;;3;168.0
Старший юрист;Санкт-Петербург;Акцент;100000.0;6;168.0
Корпоративный юрист в IT-компанию в единственном лице;Москва;Архитех ИИ;200000.0;3;168.0
Ассистент арбитражного управляющего-юрист (банкротство физических лиц);Санкт-Петербург;Арбитражный Управляющий Лаптова Ирина Сергеевна;50000.0;0;168.0
Cтарший налоговый юрист;Москва;Адвокатское бюро города Москвы Деловой фарватер;;6;168.0
Главный юрист;Москва;А7-Агент;;6;168.0
Юрист;Самара;Коллегия адвокатов Самарской области А-Лекс;72500.0;3;168.0
