name;area;employer;salary;experience;monthly_hours
Сварщик (РД НАКС в пос. Саббета);Комсомольск-на-Амуре;СтройИнвестПроект;341000.0;3;220.0
Электрогазосварщик РД, ПА;Тюмень;Производственные Резервы;177000.0;3;312.0
Сварщик/Оператор сварочного роботизированного комплекса;Москва;Связьстройдеталь;100000.0;1;180.0
Сварщик-слесарь на металлопроизводство;Йошкар-Ола;ПКФ Пересвет;60000.0;1;176.0
Сварщик-аргонщик;Уфа;МобилБетон;360000.0;3;220.0
Электрогазосварщик;Сарапул;Нефтетрубопроводсервис;68000.0;1;176.0
Сварщик в ТЭЦ-2;Волгоград;ЭЛ5-Энерго;;1;176.0
Сварщик технологических трубопроводов;Красноярск;Профессиональные технологии, ОП г. Новый Уренгой;290000.0;1;220.0
Электрогазосварщик;Сорочинск;Оренбургнефть;;0;176.0
Техник-сварщик;Астана;Eurasia Polymer;;6;
Сварщик;Стрельна;Балтийский Завод Грузовой Оснастки;100000.0;1;176.0
Электрогазосварщик;Тобольск;Континент;102500.0;1;260.0
Электрогазосварщик (4,5, 6 разряд);Белово;Кузбасская Топливная Компания;55000.0;1;180.0
Электрогазосварщик, 5 разряд;Чита;Мангазея Майнинг;;3;242.0
Слесарь-сантехник (электрогазосварщик);Сочи;РЖД-ЗДОРОВЬЕ;42500.0;1;176.0
Сварщик-аргонщик;Воронеж;Турбо-Тех;135000.0;1;176.0
Электрогазосварщик;Липецк;Российские железные дороги;42000.0;0;120.0
Слесарь-сборщик конструкций (помощник сварщика);Москва;Громкое Имя;120000.0;1;176.0
Электросварщик РД/РАД технологического трубопровода;Уфа;ГСП-Технологии;320000.0;3;242.0
Электрогазосварщик на полуавтомат;Омск;ПО ВЭЛТА;80000.0;1;180.0
Электросварщик ручной сварки;Уфа;Уфанефтегазмаш, НПО;120000.0;3;176.0
Сварщик;Иркутск;Самотлорнефтепромхим;115500.0;1;264.0
Сварщик-слесарь-сборщик медицинского оборудования;Усть-Каменогорск;Медтехсервис;37500.0;1;176.0
Электрогазосварщик;Омск;Сеялки и Посевные Комплексы;85000.0;1;176.0
Электрогазосварщик 6 разряда (котельный цех);Жуковский  (Московская область);МП Теплоцентраль;97600.0;1;176.0
Сварщик - монтажник;Петровск;Резервуаростроитель;;3;
Электрогазосварщик;Мурманск;Ловозерский горно-обогатительный комбинат;68250.0;0;176.0
Электросварщик ручной сварки 5-6 разряда (Энергоремонт);Нефтекамск;Группа «Интер РАО»;66500.0;1;176.0
Электросварщик;Москва;ПАТ GROUP;135000.0;1;176.0
Электрогазосварщик 5 разряда;Якутск;Группа ВИС;220000.0;1;242.0
Сварщик;Алматы;PrealuxDSS;52500.0;1;176.0
Сварщик;Нижний Новгород;ГК ВолгаТрейд;110000.0;1;176.0
Электрогазосварщик;Менделеевск;НТЗ ТЭМПО;89000.0;1;192.5
Сварщик;Белгород;КадровыйСоюз;159168.0;0;228.0
Сварочно-монтажная бригада тт с бригадиром-сварщиком;Красноярск;Р-Строй;275000.0;1;220.0
Электрогазосварщик;Красноярск;Сн Голд Майнинг;;1;242.0
Электрогазосварщик;Красноярск;Полюс;;1;286.0
Сварщик;Красноярск;Электроцентромонтаж;190000.0;3;208.0
Сварщик;Москва;Триумф;110000.0;1;176.0
Электрогазосварщик;Грязи;Вагоноремонтное предприятие Грязи;100000.0;1;165.0
Электрогазосварщик;Киров (Калужская область);Союзснаб;70000.0;1;176.0
