name;salary;experience;company;region;monthly_hours
Python разработчик middle;120000.0;1;AppEvent;Ростов-на-Дону;176.0
Python Developer (AI);;3;ATI.SU;Санкт-Петербург;176.0
Python developer (Инструменты управления рисками);;3;СБЕР;Москва;176.0
Ведущий backend-программист (python/Java);;3;ЦРТ | Группа компаний;Санкт-Петербург;176.0
Senior Python Developer (AI Backend);;3;Бридж Тревел;Москва;
Senior Python Developer Backend;250000.0;3;Лидсфлоу;Астана;176.0
Computer Vision Engineer Python/C++;;1;Московский метрополитен;Москва;176.0
Fullstack-разработчик Angular / Python;;1;WINLINE;Москва;176.0
Python разработчик / Middle (в Офис);;3;Диджитал Сектор Поддержка;Краснодар;176.0
Senior Python Developer;;6;Evercode Lab;Санкт-Петербург;176.0
Senior Python Developer GenAI Team;;3;Домклик;Москва;176.0
Middle Python-разработчик (AI-аналитик);;3;amoCRM;Москва;176.0
Middle Python Developer;200000.0;3;ТаймВэб;Санкт-Петербург;176.0
Младший аналитик (Python);80000.0;1;REV Ritter;Москва;176.0
Python разработчик;79500.0;1;Кортис Технологии;Краснодар;176.0
Middle Python-разработчик;250000.0;3;AERODISK;Москва;176.0
Python Developer;;1;Сотбифай;Минск;176.0
Senior python developer;;6;X5 Tech;Москва;176.0
Python Automation QA Engineer (Web + Mobile);;3;Amarcon;Казань;176.0
Python Developer QA Team (SDET);;3;TRIBE (LTD STARTRIBE);Кипр;176.0
Инженер по автоматизации тестирования, QA Auto Python;;3;Клируэй Текнолоджис;Москва;176.0
Senior Backend Developer / Team Lead (Python);;6;Маркетинг Точнее;Москва;176.0
Python разработчик (Senior);;6;Международный Научно-Технологический Центр Миэт;Зеленоград;176.0
Python Developer / Backend (парсеры);120000.0;1;VICTORY group;Екатеринбург;
Python developer [Trust and Safety];;3;RWB (Wildberries & Russ);Москва;176.0
Senior Python разработчик AI агентов (Нижний Новгород);;3;СБЕР;Нижний Новгород;176.0
Python-разработчик;75000.0;0;Космачев Андрей Александрович;Москва;176.0
Backend-разработчик Python (Junior);112500.0;1;Алабуга, ОЭЗ ППТ;Тольятти;176.0
Middle Python Developer;;3;Evercode Lab;Санкт-Петербург;176.0
Automation QA-Engineer Java/Python/C# (GameDev);;0;Gear Games;Санкт-Петербург;176.0
Python-разработчик Управления моделирования Департамента кредитных рисков;;1;Микрофинансовая организация ФРИДОМ ФИНАНС Кредит;Алматы;176.0
Python разработчик (Software Engineer);400000.0;3;Консалт Плюс;Москва;
Python (AI GenUS) specialist;;1;СБЕР;Москва;176.0
Начинающий разработчик Python, Команда по управлению финансовыми рисками;;0;Kept (Кэпт);Москва;176.0
Qa Python Selenium;10000.0;1;Хантфлоу интеграция УЗ2;Заполярный (Ямало-Ненецкий АО);176.0
