name;salary;experience;company;region;responses
Java BackEnd Developer (проект финтех);180000.0;6;Magenta Technology;Самара;17
Senior Java/Kotlin-разработчик;;6;Яндекс;Санкт-Петербург;0
Разработчик Java / AI поисковый ассистент;;3;Ozon;Москва;0
Senior Java разработчик (Мои доступы);;3;СБЕР;Москва;13
Ведущий разработчик Java, backend;;3;Правительство Москвы;Москва;0
Tech Lead Java (Quarkus);;6;АФЛТ-Системс;Москва;15
Java-разработчик;;3;РН-КрасноярскНИПИнефть;Красноярск;13
Team lead backend developer/Руководитель команды разработки (Java);500000.0;6;Доксинбокс;Санкт-Петербург;0
Разработчик java/spring/team lead;;6;СМ-Клиника;Санкт-Петербург;0
Java Developer / Java-разработчик (Тераплан);;3;YADRO;Москва;0
Java-разработчик;;3;СТЭП ЛОДЖИК (STEP LOGIC);Москва;94
Java-разработчик;;3;Бэнкс Софт Системс;Москва;339
Java-разработчик;;3;Bell Integrator;Москва;523
Java-разработчик;;3;Т-Банк;Ростов-на-Дону;9
Java-разработчик;;3;Т-Банк;Краснодар;10
Java (PFM);;3;СБЕР;Новосибирск;87
Java-разработчик;;3;Т-Банк;Москва;99
Java-разработчик;;6;Эвотор;Москва;206
QA Engineer Java Middle (продукт Unified Communications);230000.0;1;Протей, НТЦ;Санкт-Петербург;68
Java-разработчик;;3;Т-Банк;Челябинск;63
Full-stack Java Developer (со знанием итальянского / испанского языка);;1;Team.Inno / Фабрика инноваций и решений;Минск;0
Java-разработчик (трайб Daily Banking);;3;АО «ОТП Банк» (JSC «OTP Bank»);Москва;17
Ученик/начинающий специалист по AQA Java;;0;Bell Integrator;Москва;13
Fullstack QA (Java/Трайб POS);;3;АО «ОТП Банк» (JSC «OTP Bank»);Москва;13
Senior Kotlin/Java Developer;;6;Xello;Москва;14
QA automation инженер (Java);250000.0;3;Бриф;Москва;14
Java-разработчик;410000.0;3;Герасимчук Максим Юрьевич;Москва;290
Java Developer в Проект «Travel Portal»;;3;СберСпасибо;Москва;15
Java-разработчик;;3;РТЛабс;Москва;92
AQA (QA auto Java) специалист;;3;SHEVEREV;Ростов-на-Дону;72
Senior Java Dev (Кибербезопасность);;6;Х5;Москва;16
Java-разработчик (бэк-офисные системы);;3;Альфа Капитал;Москва;628
Fullstack Java-разработчик (team lead);;6;Retail Personal;Москва;12
Junior Java Developer (Тула);;1;Смартек;Тула;0
Инженер по автоматизации контроля качества Java (AQA Java);;1;Ростелеком;Москва;0
QA Automation Engineer (Java);;3;X5 Tech;Москва;13
Java разработчик/Java Developer (стажер);67000.0;0;Aston;Санкт-Петербург;221
Java-разработчик;;3;Цифролаб;Москва;388
Backend-разработчик на Java;;1;СтандартПроект;Москва;19
Java разработчик;;1;Искра Технологии;Екатеринбург;262
Java/Kotlin-разработчик;;6;Т-Банк;Иркутск;0
Java/Kotlin разработчик;;3;Т-Банк;Сочи;0
SDET / TestOps (Java разработчик сервисов тестирования);;3;РТЛабс;Москва;17
Java-разработчик;400000.0;3;OzeroDev;Москва;433
Java developer;;1;Tune Consulting;Ташкент;199
Java-разработчик;;3;ИПЦ Стандарт;Москва;451
Java-разработчик;;3;Utrace;Москва;491
Java-разработчик;;1;BIV;Казань;40
Инженер-программист Java (Челябинск, Магнитогорск);;1;Компас Плюс;Магнитогорск;0
Junior Backend Java разработчик (в офис г. Рыбинск);;1;BIV;Рыбинск;0
Java-разработчик;;3;Т-Банк;Самара;37
Java-разработчик;;3;Т-Банк;Нижний Новгород;37
Стажер по автотестированию / AQA Engineer (Java) ОФИС;60000.0;0;Bell Integrator;Москва;12
Java-разработчик;300000.0;3;Кобелева Ольга Михайловна;Москва;584
Java-разработчик;;3;Аквариус, Группа компаний;Москва;582
Java-разработчик;;6;Мякинина Марианна Левоновна;Москва;272
